Subjects,Correlation
300,0.9997091350937397
500,0.9997787245808909
100,0.9992282388291607
300,0.9997243791609455
1000,0.9998813523836168
1000,0.99987904310395
50,0.9985393824071845
500,0.9998287972301984
500,0.9998122326170239
100,0.9991988494108051
100,0.99924455154031
100,0.9993481525675212
300,0.9997220681354584
500,0.9998119139729909
500,0.9998203989709791
50,0.9984492144153916
100,0.9992138460778147
1000,0.999891122580934
500,0.9998226713788271
100,0.9991536357541605
1000,0.9998956133727555
50,0.9985174760643601
50,0.9985680998141976
1000,0.9999030046993703
100,0.9991809980385539
300,0.999755712121466
300,0.9997062956869863
1000,0.9998974605304618
50,0.9982501091461861
50,0.9984327543716913
300,0.9997019554248945
300,0.9997217624779088
1000,0.9998902101270154
300,0.9997133004050262
50,0.9984926722486044
50,0.9984617118016321
100,0.9992560164313572
50,0.9983748837335432
500,0.9998304674786775
500,0.9998245031139867
100,0.9992293591770529
100,0.9992066864205182
500,0.9998306514792048
50,0.99861243053875
1000,0.9998823360502602
500,0.9998093481528908
300,0.9997231208556046
1000,0.9998655250439464
300,0.9997469038632266
1000,0.9998878353929981
